,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
3712923460_1b20ebb131.jpg,a bunch of people in camo pants run .,A group of men and woman wearing army pants and a white shirt are running .,A group of men in camouflage pants and white t-shirts are running in a drill yard .,A group of people in army pants running .,A group of people wearing army clothes run together down the street .
2921094201_2ed70a7963.jpg,"A man sits in an airplane seat holding a young girl in his arms , surrounded by other passengers .",A small girl wearing pink sleeps on a man 's lap as they ride in an airplane .,A young girl falls asleep in her father 's arms while seated on an airplane .,Little girl sleeping in crowded airplane,Young girl wearing a pink sweater sitting on a man .
3284955091_59317073f0.jpg,a long snowboarder jumping over a barricade outside in the snow .,A man is snowboarding over a caution sign .,A person doing a jump with their snowboard over a orange and white caution sign .,A person snowboarding and jumping over a construction sign .,A snowboarder jumping over a road warning .
3215108916_0473007b47.jpg,A group of people walking on the side of a railroad track .,A long view of a curving railroad track with a group of people off in the distance .,Looking along a railroad track at people in the distance .,"People are walking away from the camera , along railroad tracks .",People near railroad tracks in the woods .
3394654132_9a8659605c.jpg,A lady stand in front of a red truck holding her dog .,A woman carrying a black and white dog on a sidewalk in front of parallel parked cars .,A woman holding a white and black dog .,A young lady poses for photo with her dog .,Woman holding dog on street .
2925577165_b83d31a7f6.jpg,A minivan drives through a deep puddle of water on the road .,A minivan splashing through a flooded parking lot on a rainy night .,A rainy road at night .,Lights are reflecting off a city street in the evening during a rain storm .,"Minivan drives down wet urban street at night , splashing water ."
2661138991_d55aa0e5dc.jpg,A GI relaxes and waits at an airport .,A man dressed in military uniform sits down and looks through some papers .,A man in army fatigues is reading something while laying on the floor .,A soldier is looking out of a window .,The soldier looks out the window as he sits with his legs crossed .
3085973779_29f44fbdaa.jpg,A blond hair boy holding a toy airplane is in front of what looks like a colorful toy monster .,A boy standing in front of a multi-colored statue .,A child admires an exhibit or store window .,A child near a blue stage with a colorful creature on it .,Boy wearing a gray sweatshirt playing with a toy airplane .
3485486737_953f9d3be2.jpg,A man in the back of a van takes a picture of a yellow truck .,a man looking out the back of his car looking at a yellow van behind,A person riding in the back of one vehicle is looking down the road towards a yellow truck .,Photographer shooting picture of yellow bus .,Two people sit in shadow in the open back of a vehicle followed by another vehicle .
1141739219_2c47195e4c.jpg,A family gathered at a painted van,A girl climbing down from the side of a bright blue truck while others watch .,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .,A very colorful bus is pulled off to the side of the road as its passengers load .,Two women and four children standing next to a brightly painted truck .
1803631090_05e07cc159.jpg,A girl in a firefighter 's uniform looks back and says something .,"A woman is dressed in a "" fire department "" uniform .",A young female firefighter stands in front of a crowd .,The lady is wearing a blue fire department shirt .,The woman wearing a fire department uniform is talking to people .
211277478_7d43aaee09.jpg,A dirty jeep is stuck in the mud .,A Jeep goes off-roading in the woods with muddy trails making it dirty .,A muddy jeep driving through the forest .,A muddy truck in the woods .,The vehicle is driving through mud surrounded by pine trees .
3584603849_6cfd9af7dd.jpg,A blue plane does loops as it heads down to earth .,"A blue , red , and yellow airplane is flying through the air .","A blue , red , and yellow plane does a loop in the air .",A colorful aerobatic plane leaves a coiled trail of smoke behind it .,"A plane doing tricks in the air , leaving a smoke trail behind the plane ."
3706653103_e777a825e4.jpg,a bicyclist wearing a helmet jumping a trick on his back tire,A guy on his bike doing a truck on a rocky beach .,A man is performing a trick on a bicycle at a rocky beach .,A man on a white bike doing tricks on rocky ground .,A man pops a wheelie on a bike on a rocky beach .
3535304540_0247e8cf8c.jpg,A red airplane is leaving white smoke behind it .,A red airplane that has left behind a trail .,"A red biplane in the sky , with a trail of smoke .",A red bi-plane leaves a white trail in a blue sky .,A red biplane streaks across the sky leaving a white trail behind it .
542179694_e170e9e465.jpg,"A firetruck stops and makes a call at a bridge , where a man and his dogs are running .",A firetruck with ladder extended on the side of the road .,A jogger with a dog approaches a ladder truck .,A jogger with a dog running towards a firetruck with extended ladder on a road,A man walks on a sidewalk and a firetruck is nearby .
3659769138_d907fd9647.jpg,A plane flies with a cloud of smoke behind it .,A plane is diving through the sky creating a cloud of smoke behind it .,a small airplane flying through the air with lots of smoke coming out of the plane .,"A stunt plane is billowing smoke into a clear , grey sky .",The airplane is billowing smoke and looks like it may crash .
2661294969_1388b4738c.jpg,A float representing the times of hanging is shown in the back of a truck .,A man in a judge costume stand on a red truck and hangs a dummy .,Man dressed as a judge pretending to hang another man on top of a truck .,Three people in costumes stand on the back of a pickup truck .,Three people stand on the back of a truck .
524360969_472a7152f0.jpg,A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane .,a workers standing in the road holding a stop sign in front of another worker,Person holding stop sign to direct traffic .,Two construction workers holding signs interact on a street in front of a large truck .,Two flaggers chatting on a construction site .
3271061953_700b96520c.jpg,A group of people are riding in the back of a truck .,A group of warmly dressed people in the back of a truck .,A variety of folks in the back of a large wagon .,Many middle eastern people are sitting in the back of a blue truck .,People are riding in a crowded truck bed .
2409597310_958f5d8aff.jpg,A boy and a baby in a ridable truck .,Two children riding in a small child 's toy vehicle .,Two little boys are driving past adults in their toy jeep .,Two little boys ride in a toy truck .,Two little boys sit in a toy car on the grass .
429283612_37f6e7fb7f.jpg,A man and a woman looking at ruins .,Two people are observing some ruins .,Two people are standing on a hill overlooking rolling green grass .,Two people take in the view from a hillside .,Two tourists photograph a countryside and ruins
515797344_4ae75cb9b1.jpg,Men walking on city street with a yellow bus and two FedEx vehicles in the background .,some men crossing the street in a busy city,"Three men crossing a street , with trucks in the background .",Three men cross the street in front of a yellow truck .,Three men walking on a city street in front of a yellow bus and two FedEx trucks .
241374292_11e3198daa.jpg,A crowd of people standing in front of statues .,A group of people gather in front of plastic statues .,Group of people gathering around a parade float .,Several people are gathered by some statues .,Some people are gathered around a truck carrying some statues .
2504991916_dc61e59e49.jpg,A Lay 's potato chip truck at the end of a path and two people walking .,A woman has her arm around a man and they are walking towards a potato chip truck .,A woman in a tank top checks out the trailer decorated with potato chips .,Two people are walking towards a lays truck .,Two people walk toward a potato chip truck .
515755283_8f890b3207.jpg,A police officer posing with two army officers beside his motorcycle .,There are three policemen and a police motorcycle .,Three police officers next to a police motorcycle .,Three police officers pose with a motorcycle .,Two men in red berets pose with a motorcycle cop .
211981411_e88b8043c2.jpg,A hummer is driving through a mud puddle several feet deep .,An old dusty car is half way in the brown water .,An old jeep partially submerged in water,Dirty car in body of water,The dirty vehicle is caught in a flood .
3393343330_b13df4d8ec.jpg,A large man sits in a military accessories store .,A man in glasses is sitting behind a table laden with military memorabilia .,A man is sitting at a table full of military items and clothing .,A man sits at a table crowded with military merchandise .,Veteran shows off different things from a war .
3341077091_7ca0833373.jpg,A boy is airborne on his skateboard above a set of rails in an industrial setting .,A boy with a skateboard if jumping in the air along some railway tracks .,A man doing a skateboard trick over a railroad track .,A skateboarder does a kickflip along the train tracks .,A skateboarder doing a jump on train tracks .
